Model,Test Set,Accuracy,Precision,Recall,F1-Score
Random Forest,Overall,0.842345388713168,0.9972449329103933,0.4246451989295725,0.5956511877176519
Random Forest,Unknown Attack,0.5005347652545924,0.7389162561576355,0.0016539131585330893,0.0033004389583814646
XGBoost,Overall,0.8431170578769214,0.9958107151286287,0.428094918005758,0.598777751168587
XGBoost,Unknown Attack,0.5024477914746289,0.8651315789473685,0.005799722142589367,0.011522201047074543
LightGBM,Overall,0.8429176377559514,0.9950720745975773,0.4276827273073167,0.5982410154742739
LightGBM,Unknown Attack,0.5020894436236135,0.8377896613190731,0.005182261230070346,0.010300805435318612
MLP,Overall,0.8355651046001886,0.9432951164135325,0.4241759356728855,0.5852015485225608
MLP,Unknown Attack,0.49592586058614685,0.1549953314659197,0.0018303305621099521,0.0036179371219964038
LSTM,Overall,0.8365674074690639,0.9511497930799095,0.42412520451000035,0.5866559069518575
LSTM,Unknown Attack,0.49670319977065736,0.16777777777777778,0.0016649392462566432,0.0032971592025678536
Isolation Forest,Overall,0.27808182120859,0.25388281511709354,0.8458660443644019,0.3905452607724357
Isolation Forest,Unknown Attack,0.531192802169934,0.5161303197555079,0.9980924868238251,0.680409503980036
Autoencoder,Overall,0.7014819516120082,0.24051132895256563,0.042474666125534265,0.072198897290655
Autoencoder,Unknown Attack,0.48605751207356607,0.30901676483914814,0.022559375482391338,0.04204901608179623
